错误类型,错误描述,产生原因
权限错误,Permission denied,用户对目标文件/目录/命令没有执行、读取或写入权限
权限错误,Operation not permitted,普通用户试图执行需root权限的操作(如修改系统配置)
权限错误,Access denied,访问网络服务、数据库或远程主机时认证失败或权限不足
文件系统错误,No such file or directory,指定的文件或目录不存在(路径拼写错误、文件被删除)
文件系统错误,Is a directory,试图对目录执行文件操作(如执行目录、用cat读取目录)
文件系统错误,Not a directory,试图对文件执行目录操作(如cd到文件、mkdir文件路径)
文件系统错误,File exists,创建文件/目录时目标已存在(未加-f强制覆盖)
文件系统错误,Too many open files,进程打开的文件描述符数量超过系统限制(ulimit -n)
文件系统错误,Device or resource busy,设备或文件正被占用(如umount已挂载的分区、删除正在使用的文件)
文件系统错误,Read-only file system,文件系统以只读模式挂载(磁盘损坏、挂载参数错误、root分区满)
文件系统错误,No space left on device,磁盘分区存储空间耗尽(数据过多、日志文件未清理)
文件系统错误,Quota exceeded,用户磁盘配额已用尽(系统启用了磁盘配额限制)
文件系统错误,Bad file descriptor,使用无效的文件描述符(已关闭的文件描述符、未打开的文件)
文件系统错误,Invalid argument,传递给系统调用的参数非法(如文件路径含非法字符、权限参数错误)
命令相关错误,Command not found,系统PATH环境变量中未找到指定命令(命令未安装、路径未配置)
命令相关错误,Command not found: [命令名],命令拼写错误、未安装或未添加到环境变量
命令相关错误,Too many arguments,向命令传递的参数数量超过其处理能力
命令相关错误,Invalid option,使用了命令不支持的选项(选项拼写错误、版本不兼容)
命令相关错误,Missing operand,命令缺少必需的操作数(如cp只指定源文件未指定目标)
命令相关错误,Argument list too long,命令参数列表过长(如ls *.txt时文件数量过多)
命令相关错误,Command terminated,命令被信号中断(如Ctrl+C强制终止、内存不足被OOM杀死)
网络错误,Connection refused,目标主机端口未开放、服务未启动或拒绝连接(防火墙拦截、服务配置限制)
网络错误,Connection timed out,网络延迟过高、目标主机不可达或服务未响应(路由故障、防火墙拦截、服务宕机)
网络错误,No route to host,没有到达目标主机的路由(网关配置错误、网络中断、目标主机离线)
网络错误,Host is unreachable,目标主机不可达(IP地址错误、子网掩码配置错误、物理网络故障)
网络错误,Network is unreachable,网络不可用(网卡未启用、IP配置错误、路由表缺失默认网关)
