错误编号,错误信息,常见原因
1,"(error) ERR wrong number of arguments for 'command' command","命令参数数量不正确"
2,"(error) ERR value is not an integer or out of range","对需要整数的操作传入了非整数或超出范围的值（如 INCR）"
3,"(error) ERR value is not a valid float","对需要浮点数的操作传入了非法浮点值（如 INCRBYFLOAT）"
4,"(error) WRONGTYPE Operation against a key holding the wrong kind of value","对键执行了与其数据类型不匹配的操作（如对字符串执行 HGET）"
5,"(error) ERR no such key","操作的键不存在（某些命令如 GET 返回 nil，但 DEL、TTL 等可能报此错）"
6,"(error) ERR syntax error","命令语法错误，如参数顺序错误或使用非法选项"
7,"(error) MOVED <slot> <ip:port>","客户端未启用集群模式，但访问的键属于其他节点（Redis Cluster）"
8,"(error) ASK <slot> <ip:port>","在 Redis Cluster 中，槽正在迁移，需先向目标节点发送 ASKING 命令"
9,"(error) TRYAGAIN","集群正在进行故障转移或内部状态不稳定，建议重试"
10,"(error) CLUSTERDOWN Hash slot not served","Redis Cluster 未完全启动或多数主节点不可用"
11,"(error) BUSYKEY Target key name already exists","使用 MIGRATE 命令且指定 REPLACE 选项缺失时目标键已存在"
12,"(error) NOGOODSLAVE No suitable replica to promote","哨兵或集群无法选出合适的从节点进行故障转移"
13,"(error) MASTERDOWN Link with MASTER is down and replica-serve-stale-data is set to 'no'","主节点宕机且从节点配置为不提供过期数据"
14,"(error) LOADING Redis is loading the dataset in memory","Redis 正在从 RDB/AOF 文件恢复数据，拒绝写请求"
15,"(error) ERR DB index is out of range","SELECT 命令指定的数据库编号超出 databases 配置范围（默认0-15）"
16,"(error) OOM command not allowed when used memory > 'maxmemory'","内存使用超过 maxmemory 且无合适驱逐策略或无法释放内存"
17,"(error) ERR max number of clients reached","客户端连接数达到 maxclients 限制"
18,"(error) ERR Client sent AUTH, but no password is set","客户端发送了 AUTH 命令但 Redis 未配置 requirepass"
19,"(error) ERR invalid password","AUTH 提供的密码与 requirepass 配置不符"
20,"(error) NOAUTH Authentication required","未认证但服务器启用了 requirepass"
21,"(error) ERR only (P)SUBSCRIBE / (P)UNSUBSCRIBE / PING / QUIT allowed in this context","在订阅模式下执行了非允许命令"
22,"(error) ERR unknown command 'xxx'","输入了 Redis 不支持的命令（拼写错误或版本不支持）"
23,"(error) ERR command not allowed in script","在 Lua 脚本中使用了不允许的命令（如 SHUTDOWN）"
24,"(error) ERR Script attempted to execute a disallowed command","同上，脚本中调用了非确定性或危险命令"
