错误编号,错误信息,常见原因
1045,"Access denied for user 'user'@'host' (using password: YES/NO)","用户名或密码错误；用户没有从该主机连接的权限"
1049,"Unknown database 'database_name'","指定的数据库不存在"
1064,"You have an error in your SQL syntax","SQL语句语法错误，如缺少引号、括号不匹配等"
1146,"Table 'database.table' doesn't exist","表不存在于指定数据库中"
1054,"Unknown column 'column_name' in 'field list'","SELECT 或 WHERE 中引用了不存在的列"
1050,"Table 'table_name' already exists","尝试创建已存在的表且未使用 IF NOT EXISTS"
1062,"Duplicate entry 'value' for key 'key_name'","插入或更新数据违反唯一索引或主键约束"
1213,"Deadlock found when trying to get lock","事务死锁，多个事务互相等待对方释放锁"
1205,"Lock wait timeout exceeded; try restarting transaction","事务等待锁超时"
1366,"Incorrect string value: '\\xE4\\xB8\\xAD...' for column 'column_name'","字符编码不匹配，如UTF-8字段插入非UTF-8数据"
1136,"Column count doesn't match value count at row n","INSERT 语句中列数与值数量不一致"
1067,"Invalid default value for 'column_name'","默认值不符合列的数据类型或SQL模式限制（如严格模式下 TIMESTAMP 默认值无效）"
2002,"Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock'","MySQL服务未运行或socket路径配置错误"
2003,"Can't connect to MySQL server on 'host' (111)","远程连接失败，可能因防火墙、MySQL未监听端口或bind-address限制"
1044,"Access denied for user 'user'@'host' to database 'database_name'","用户对指定数据库无访问权限"
1142,"SELECT command denied to user 'user'@'host' for table 'table_name'","用户对该表无SELECT权限"
1071,"Specified key was too long; max key length is 767 bytes","索引长度超过InnoDB引擎限制（尤其在utf8mb4下）"
1452,"Cannot add or update a child row: a foreign key constraint fails","外键约束失败，引用的父记录不存在"
1216,"Cannot add or update a child row: a foreign key constraint fails (same as 1452 but during INSERT)","同上，发生在插入操作"
1217,"Cannot delete or update a parent row: a foreign key constraint fails","试图删除或更新被子表引用的父记录"
1093,"You can't specify target table 'table' for update in FROM clause","UPDATE/DELETE语句中不能直接在子查询中引用目标表（需用临时表绕过）"
1111,"Invalid use of group function","在WHERE子句中错误使用聚合函数（如 SUM()）"
1055,"Expression #n of SELECT list is not in GROUP BY clause...","SQL模式包含 ONLY_FULL_GROUP_BY 且 SELECT 字段未全部包含在 GROUP BY 中"
1364,"Field 'column_name' doesn't have a default value","插入时未提供非空且无默认值的字段值（严格模式下报错）"
1007,"Can't create database 'database_name'; database exists","尝试创建已存在的数据库且未使用 IF NOT EXISTS"
1008,"Can't drop database 'database_name'; database doesn't exist","尝试删除不存在的数据库且未使用 IF EXISTS"
1051,"Unknown table 'table_name'","DROP 或操作不存在的表"
1061,"Duplicate key name 'index_name'","创建重复名称的索引"
1091,"Can't DROP 'index_name'; check that column/key exists","尝试删除不存在的索引或列"
1267,"Illegal mix of collations (utf8_general_ci,IMPLICIT) and (utf8mb4_unicode_ci,IMPLICIT)","字符集或排序规则不兼容导致比较或连接失败"
1048,"Column 'column_name' cannot be null","尝试向定义为 NOT NULL 的列插入 NULL 值"
1138,"Invalid use of NULL value","某些操作（如全文索引）不允许NULL值"
1025,"Error on rename of './database/table' to './database/table_new' (errno: 150)","外键约束导致无法重命名表"
1227,"Access denied; you need (at least one of) the SUPER privilege(s)","执行需要SUPER权限的操作（如设置全局变量）但权限不足"
1290,"The MySQL server is running with the --read-only option so it cannot execute this statement","服务器处于只读模式，无法执行写操作"
1153,"Got a packet bigger than 'max_allowed_packet' bytes","客户端发送的SQL或数据包超过 max_allowed_packet 限制"
1040,"Too many connections","并发连接数超过 max_connections 设置"
1053,"Server shutdown in progress","MySQL正在关闭过程中，拒绝新连接或操作"
1060,"Duplicate column name 'column_name'","CREATE TABLE 或 ALTER TABLE 中重复定义列名"
1072,"Key column 'column_name' doesn't exist in table","创建索引时指定的列不存在"
1089,"Incorrect prefix key; the used key part isn't a string, the used length is longer than the key part, or the storage engine doesn't support unique prefix keys","前缀索引长度无效"
1109,"Unknown table 'table_name' in information_schema","查询 INFORMATION_SCHEMA 时表名拼写错误"
1175,"You are using safe update mode and you tried to update a table without a WHERE that uses a KEY column","启用了 safe-updates 模式但 UPDATE 未使用主键或索引列作为条件"
1176,"Key 'key_name' doesn't exist in table 'table_name'","查询中引用了不存在的索引"
1231,"Variable 'variable_name' can't be set to the value of 'value'","尝试设置不支持的变量值"
1235,"This version of MySQL doesn't yet support 'feature'","使用了当前版本不支持的特性（如窗口函数在旧版）"
1242,"Subquery returns more than 1 row","子查询返回多行但上下文要求单值（如 = 操作符）"
1248,"Every derived table must have its own alias","FROM 子句中的子查询未指定别名"
1292,"Truncated incorrect DOUBLE/INTEGER value: 'string'","隐式类型转换失败，如字符串转数字"
1305,"FUNCTION database.function_name does not exist","调用不存在的函数"
1419,"You do not have the SUPER privilege and binary logging is enabled...","未启用 log_bin_trust_function_creators 且无SUPER权限时创建函数"
1442,"Can't update table 'table' in stored function/trigger because it is already used by statement which invoked this stored function/trigger","触发器或函数中修改已被当前语句使用的表"
1451,"Cannot delete or update a parent row: a foreign key constraint fails","同1217，外键保护父记录"
1615,"Prepared statement needs to be re-prepared","表结构变更导致预处理语句失效"
2013,"Lost connection to MySQL server during query","网络中断、查询超时或服务器崩溃"
2006,"MySQL server has gone away","连接超时（wait_timeout）、数据包过大或服务重启"
1017,"Can't find file: './database/table.frm'","表文件丢失或损坏"
1030,"Got error 127 from storage engine","存储引擎内部错误，可能因表损坏"
1033,"Incorrect information in file: './database/table.MYI'","MyISAM索引文件损坏"
1034,"Index corrupt; Table './database/table' is marked as crashed","MyISAM表索引损坏"
1068,"Multiple primary key defined","定义多个主键"
1075,"Incorrect table definition; there can be only one auto column and it must be defined as a key","自增列未设为主键或唯一索引，或存在多个自增列"
