错误编号,错误信息（或现象）,常见原因
1,"IO error: .../LOCK: Permission denied","程序无权限访问数据库目录，或 LOCK 文件被其他进程占用且权限不足"
2,"IO error: .../LOCK: File exists","数据库已被另一个进程打开（LOCK 文件存在），尝试并发打开未使用共享模式"
3,"IO error: .../MANIFEST-xxxxx: No such file or directory","MANIFEST 文件被意外删除或数据库目录损坏"
4,"Corruption: checksum mismatch","SSTable 或日志文件校验和错误，可能因磁盘故障、非正常关机导致"
5,"Corruption: bad entry in log","日志文件（log）中包含无法解析的记录，通常因写入中断或存储损坏"
6,"Corruption: unknown compression type","SSTable 使用了不支持的压缩类型（如 Snappy 未启用但数据被压缩）"
7,"Invalid argument: Options do not match existing database","打开数据库时传入的 Options（如 comparator、compression）与创建时不一致"
8,"Invalid argument: comparator name mismatch","自定义 comparator 名称与已有数据库中记录的不一致"
9,"Not found: ...","Get() 操作未找到指定 key（严格来说不是错误，但常被误认为错误）"
10,"IO error: .../000003.log: Read-only file system","数据库目录挂载为只读，无法写入日志或 SSTable"
11,"IO error: .../CURRENT: Permission denied","无法读取或写入 CURRENT 文件（指向当前 MANIFEST）"
12,"IO error: .../000005.sst: Input/output error","底层存储设备 I/O 错误（如坏道、USB 拔出）"
13,"Corruption: block checksum mismatch","SSTable 中某个数据块校验失败"
14,"IO error: while open a file for appending","无法以追加模式打开日志文件（磁盘满、权限不足等）"
15,"No space left on device","磁盘空间不足，无法写入新日志或 SSTable 文件"
16,"Too many open files","系统文件描述符限制过低，LevelDB 打开过多 SSTable 文件导致失败"
17,"IO error: .../LOG: Operation not permitted","SELinux、AppArmor 等安全策略阻止文件访问"
18,"Database is busy","尝试在已有进程使用时强制打开（非 LevelDB 原生错误，但常见于封装层）"
19,"Failed to create directory","数据库目录不存在且无法自动创建（父目录无写权限）"
20,"Comparator returned non-zero for identical keys","自定义 comparator 逻辑错误，违反相等性约束"
21,"Snapshot is too old","长时间未释放快照导致日志无法回收，最终影响性能或触发错误（非直接报错，但属常见问题）"
22,"WriteBatch contains too many entries","单次 WriteBatch 过大，超出内存或内部缓冲限制"
23,"Iterator is invalid after DB close","在 DB 关闭后仍使用其创建的迭代器"
24,"Concurrent writes not serialized","多线程同时调用 Write() 而未加锁（LevelDB 非线程安全写）"
25,"Reusing iterator after deletion","迭代器已删除但仍被解引用"
26,"Compaction failed: out of memory","压缩过程中内存不足（尤其在大值或高并发写入时）"
27,"Manifest write failed","无法更新 MANIFEST 文件（磁盘满、权限问题）"
28,"Recovery failed: missing log file","重启时发现 CURRENT 指向的日志文件不存在"
29,"Recovery failed: log file truncated","日志文件被截断，无法完整恢复状态"
30,"Custom env failed to create file","使用自定义 Env 实现时，CreateWritableFile 返回错误"
31,"Read past EOF in table","SSTable 文件意外截断，读取超出文件末尾"
32,"Block is too large","单个数据块超过 LevelDB 内部限制（通常因异常大 key/value）"
33,"Key too large","单个 key 超过 LevelDB 推荐或内部限制（约几 MB）"
34,"Value too large","单个 value 过大，导致写入性能极差或内存溢出"
35,"DB::Open() called with NULL name","传入空路径给 DB::Open"
36,"Options block_cache size too small","块缓存配置过小，影响性能（非错误，但常被误报）"
37,"Write rate too high causing stalls","写入速率过高触发 LevelDB 内部写停顿（write stall）"
38,"Level 0 files too many, write stopped","L0 层文件数超过阈值，写入被暂停等待压缩"
39,"Unable to acquire lock due to flock() failure","在不支持 flock 的文件系统（如某些 NFS）上无法加锁"
40,"Database directory is on a network filesystem","NFS 等网络文件系统不支持 LevelDB 所需的文件锁语义"
41,"Unexpected end of file in MANIFEST","MANIFEST 文件损坏或不完整"
42,"VersionSet::LogAndApply failed","版本切换时写入 MANIFEST 失败"
43,"Table cache full","TableCache 超出 max_open_files 限制，频繁打开/关闭文件影响性能"
44,"Memory usage exceeded expected limit","大量缓存或未释放迭代器导致内存泄漏"
45,"Repeated DB open/close in short time","频繁开关数据库导致文件句柄或锁竞争问题"
46,"Using deleted DB instance","DB 指针已 delete 但仍被调用"
47,"Mixing 32-bit and 64-bit builds","用 32 位程序读取 64 位创建的数据库（或反之），可能因对齐或指针大小问题损坏"
48,"Snappy compression not available","编译时未启用 Snappy，但尝试使用 kSnappyCompression"
49,"Zlib compression not supported","尝试使用 Zlib 但 LevelDB 默认不支持（需自定义）"
50,"Custom merge operator not registered","使用 Merge 操作但未提供合并操作符（LevelDB 原生不支持 Merge，此条适用于 RocksDB 用户混淆）"
51,"Iterator out of bounds","在迭代器无效位置调用 key()/value()"
52,"WriteOptions sync=true failed","强制 sync 时磁盘写入失败（如掉电、设备错误）"
53,"Background compaction disabled but needed","手动禁用压缩后数据库膨胀，最终无法写入"
54,"Database corrupted after power loss","非正常关机导致日志或 SSTable 不一致"
55,"File system does not support atomic rename","某些文件系统（如 FAT32）不支持原子重命名，破坏 LevelDB 一致性"
