"序号","错误类型","常见错误描述","原因分析"
1,"配置错误","Apache启动失败：Invalid command 'xxx'","使用了未加载模块提供的指令"
2,"配置错误","AH00526: Syntax error on line XX","配置文件语法错误，如缺少引号、括号不匹配"
3,"配置错误","DocumentRoot must be a directory","DocumentRoot指向的路径不是目录或不存在"
4,"配置错误","Port already in use: 80","80端口被其他进程（如nginx、IIS）占用"
5,"配置错误","ServerName takes one argument","ServerName指令参数过多或格式错误"
6,"配置错误","Invalid directory index directive","DirectoryIndex指令值无效或拼写错误"
7,"配置错误","AllowOverride not allowed here","AllowOverride用在了不允许的上下文中（如非<Directory>）"
8,"配置错误","Mixing * ports and non-* ports","虚拟主机中混用带*和不带*的端口定义"
9,"配置错误","VirtualHost overlap","多个虚拟主机监听相同IP:Port，未启用NameVirtualHost（Apache 2.2）"
10,"配置错误","Invalid log level","LogLevel设置为不支持的级别（如debug5在旧版本）"
11,"权限错误","403 Forbidden","目录或文件权限不足，Apache用户无读取权限"
12,"权限错误","Client denied by server configuration","<Directory>或<Files>中Deny from all未正确覆盖"
13,"权限错误","SELinux阻止Apache访问文件","SELinux上下文未设置为httpd_sys_content_t"
14,"权限错误",".htaccess被忽略","AllowOverride设置为None，导致.htaccess不生效"
15,"权限错误","无法写入日志文件","日志目录对Apache用户不可写"
16,"权限错误","无法访问SSL证书文件","证书或私钥文件权限过宽（如777）或Apache无读权限"
17,"权限错误","mod_rewrite规则被拒绝","RewriteEngine On但AllowOverride未包含FileInfo"
18,"权限错误","无法执行CGI脚本","ScriptAlias目录中文件无执行权限"
19,"权限错误","用户目录（~user）访问被拒","mod_userdir未启用或用户家目录权限不当"
20,"权限错误","无法加载SSL证书私钥","私钥文件权限太开放（应为600）或属主错误"
21,"模块错误","Module xxx_module is not loaded","使用了未启用的模块指令（如RewriteRule但mod_rewrite未加载）"
22,"模块错误","Cannot load modules/mod_xxx.so","模块文件缺失、路径错误或依赖库不满足"
23,"模块错误","Duplicate module xxx_module","同一模块被多次加载"
24,"模块错误","mod_ssl not compiled in","Apache未编译SSL支持却启用了SSL配置"
25,"模块错误","PHP module not loaded","未加载libphp.so或配置错误导致.php文件被下载而非执行"
26,"模块错误","mod_proxy未启用但使用ProxyPass","导致配置错误或500错误"
27,"模块错误","mod_rewrite规则无限重定向","RewriteRule未加[END]或条件不当导致循环"
28,"模块错误","mod_security规则误拦截","WAF规则过于严格，阻断正常请求"
29,"模块错误","mod_evasive触发误报","请求频率过高被临时封禁"
30,"模块错误","mod_pagespeed缓存错误","动态内容被错误缓存导致显示异常"
31,"虚拟主机错误","默认虚拟主机响应所有请求","未定义默认虚拟主机，导致第一个VHost响应未知域名"
32,"虚拟主机错误","ServerAlias未生效","拼写错误或未重载Apache配置"
33,"虚拟主机错误","SSL虚拟主机未监听443","<VirtualHost *:443>但未配置Listen 443"
34,"虚拟主机错误","HTTP和HTTPS共享相同DocumentRoot但权限不同","导致部分资源403"
35,"虚拟主机错误","NameVirtualHost已弃用（Apache 2.4）","在2.4+中使用会报错或警告"
36,"SSL/TLS错误","ERR_SSL_PROTOCOL_ERROR","SSL配置错误，如未启用SSL或端口未监听"
37,"SSL/TLS错误","SSL received a record that exceeded the maximum permissible length","客户端用HTTP访问HTTPS端口"
38,"SSL/TLS错误","Unable to configure permitted SSL ciphers","SSL CipherSuite指令语法错误或加密套件不存在"
39,"SSL/TLS错误","Private key does not match certificate","证书与私钥不匹配"
40,"SSL/TLS错误","SSLCertificateFile not found","证书文件路径错误或文件不存在"
41,"SSL/TLS错误","Insecure SSLv3 enabled","使用已废弃的SSL协议，现代浏览器拒绝连接"
42,"SSL/TLS错误","Mixed Content warnings","HTTPS页面加载HTTP资源"
43,"SSL/TLS错误","Certificate chain incomplete","中间证书未正确配置"
44,"SSL/TLS错误","OCSP stapling failed","OCSP响应器不可达或配置错误"
45,"SSL/TLS错误","TLS 1.0/1.1 disabled but client requires it","客户端过旧，服务器禁用旧协议"
46,"性能问题","高并发下响应缓慢","未调整MaxRequestWorkers、ServerLimit等MPM参数"
47,"性能问题","KeepAlive未启用","每个请求新建连接，增加延迟"
48,"性能问题","MaxConnectionsPerChild设为0（prefork）","长期运行进程内存泄漏累积"
49,"性能问题","未启用mod_deflate","未压缩文本资源，传输体积大"
50,"性能问题","未配置缓存头（Cache-Control）","静态资源频繁请求，未利用浏览器缓存"
51,"日志错误","日志文件过大未轮转","磁盘空间耗尽"
52,"日志错误","CustomLog格式错误","LogFormat与CustomLog不匹配"
53,"日志错误","ErrorLog路径不可写","日志无法记录，掩盖真实错误"
54,"日志错误","日志级别过高（如trace8）","产生海量日志影响性能"
55,"日志错误","访问日志记录敏感信息","如密码、token被记录到access_log"
56,"重写错误","RewriteRule死循环","规则无终止条件，导致内部重定向超限"
57,"重写错误","RewriteCond未正确转义","特殊字符（如.、?）未用反斜杠转义"
58,"重写错误","HTTPS重定向导致无限循环","未检查%{HTTPS}就重定向到https://"
59,"重写错误","RewriteBase缺失（.htaccess中）","在子目录中使用相对路径重写失败"
60,"重写错误","[R]与[L]顺序错误","应先重定向再终止，顺序不当导致行为异常"
61,"CGI/脚本错误","500 Internal Server Error (CGI)","脚本无执行权限、shebang错误或输出非HTTP头"
62,"CGI/脚本错误","Premature end of script headers","CGI脚本未输出Content-Type或有语法错误"
63,"CGI/脚本错误","ScriptAlias路径错误","指向非目录或目录无执行权限"
64,"CGI/脚本错误","环境变量未传递","未配置PassEnv或SetEnv"
65,"CGI/脚本错误","超时未设置","长时间运行脚本被终止"
66,"代理错误","502 Bad Gateway","后端服务未运行或地址错误"
67,"代理错误","503 Service Unavailable","后端过载或ProxyPass配置错误"
68,"代理错误","ProxyPreserveHost未设置","后端依赖Host头但被覆盖"
69,"代理错误","SSLProxyEngine未启用","代理HTTPS后端但未开启SSL代理"
70,"代理错误","ProxyTimeout过短","后端响应慢被提前断开"
71,"安全错误","目录列表暴露","Options Indexes未关闭，泄露文件结构"
72,"安全错误",".git或备份文件可访问","未通过<FilesMatch>禁止访问敏感文件"
73,"安全错误","HTTP方法未限制","允许PUT、DELETE等危险方法"
74,"安全错误","未设置Security Headers","如Missing X-Content-Type-Options、CSP等"
75,"安全错误","mod_status未限制访问","/server-status公开暴露服务器信息"
76,"安全错误","未禁用ServerTokens","暴露Apache版本信息"
77,"安全错误",".htaccess可被下载","未限制访问.ht*文件"
78,"安全错误","未启用mod_evasive或mod_security","缺乏基础WAF防护"
79,"安全错误","SSL证书过期","浏览器显示不安全警告"
80,"安全错误","使用弱加密算法","如RC4、MD5签名证书"
81,"启动/停止错误","Address already in use: AH00072","Apache未完全关闭，残留进程占用端口"
82,"启动/停止错误","Could not open configuration file","配置文件路径错误或权限不足"
83,"启动/停止错误","httpd dead but pid file exists","进程崩溃但pid文件未清理"
84,"启动/停止错误","Job for httpd.service failed","systemd启动失败，需journalctl -u httpd查看详情"
85,"启动/停止错误","Graceful restart failed","配置错误导致无法平滑重启"
86,"MIME类型错误","文件被下载而非显示","未正确配置AddType或mime.types缺失"
87,"MIME类型错误","CSS/JS被当作文本显示","MIME类型错误导致浏览器不解析"
88,"MIME类型错误","图标（.ico）无法加载","未定义image/x-icon类型"
89,"MIME类型错误","字体文件被阻断","未设置application/font-woff等MIME"
90,"MIME类型错误","JSON返回text/plain","应为application/json，影响AJAX解析"
91,"缓存错误","ETag未正确配置","导致缓存验证失效"
92,"缓存错误","ExpiresByType未加载mod_expires","指令无效"
93,"缓存错误","Cache-Control与Expires冲突","优先级混淆导致缓存策略混乱"
94,"缓存错误","反向代理未缓存","未配置mod_cache或CacheEnable"
95,"缓存错误","私有内容被缓存","未设置Cache-Control: private"
