序号,错误类型,具体错误示例,原因分析,解决方法
1,语法错误,忘记分号: int a = 10,语句没有以分号结束,C++要求每条语句以分号结尾
2,语法错误,if语句缺少括号: if a > 10,条件表达式必须用括号括起来,改为if(a > 10)
3,语法错误,数组初始化错误: int arr[] = {1,2,3};,使用错误的初始化语法,确保使用花括号初始化
4,语法错误,switch语句中case后缺少break,导致case穿透,每个case后应添加break语句
5,语法错误,函数声明与定义不匹配,返回类型或参数列表不一致,保持声明和定义的一致性
6,语法错误,使用未声明的变量: cout << x; x未声明,使用变量前必须先声明
7,语法错误,错误的注释嵌套: /* 注释 /* 嵌套 */ */,C++不支持注释嵌套,使用单行注释或避免嵌套
8,语法错误,字符串字面量未闭合: char* s = "hello;,缺少结束引号,确保字符串有匹配的引号
9,语法错误,宏定义末尾加分号: #define MAX 100;,宏定义不应有分号,删除分号
10,语法错误,在头文件中using namespace std,导致命名空间污染,在头文件中使用std::前缀
11,内存错误,内存泄漏: new后未delete,分配的内存未释放,确保每个new都有对应的delete
12,内存错误,重复释放: delete ptr; delete ptr;,对同一指针多次delete,设置ptr = nullptr after delete
13,内存错误,野指针: int* p; *p = 10;,使用未初始化的指针,初始化指针为nullptr或有效地址
14,内存错误,数组越界: int arr[5]; arr[5] = 10;,访问超出数组边界,确保索引在0到size-1范围内
15,内存错误,使用已释放内存: delete ptr; *ptr = 5;,访问已释放的内存,释放后立即将指针置空
16,内存错误,栈溢出: 无限递归或过大局部变量,栈空间耗尽,优化递归或使用动态分配
17,内存错误,缓冲区溢出: strcpy(dest, src); src过长,使用安全函数如strncpy或std::string
18,内存错误,内存对齐问题,访问未对齐的数据导致性能下降或崩溃,使用对齐说明符
19,内存错误,错误的delete形式: new[]使用delete而非delete[],分配和释放形式必须匹配
20,内存错误,返回局部变量指针: int* func() { int a; return &a; },局部变量在函数返回后销毁,返回动态分配或静态变量
21,指针错误,空指针解引用: int* p = nullptr; *p = 10;,对空指针进行操作,使用前检查指针是否为空
22,指针错误,指针类型不匹配: double* p; int i; p = &i;,类型不兼容导致未定义行为,使用正确类型的指针
23,指针错误,指针算术错误: 对void*进行算术运算,void*大小未知,转换为具体类型指针后再运算
24,指针错误,函数指针类型错误,函数签名不匹配导致调用错误,确保函数指针类型与函数匹配
25,指针错误,多级指针使用混乱,解引用层级错误,理清指针层级关系
26,引用错误,未初始化的引用: int& ref;,引用必须初始化,声明时绑定到有效对象
27,引用错误,返回局部变量的引用,类似指针错误,局部变量销毁后引用无效,避免返回局部引用
