错误代码,错误标题,错误描述,常见原因,解决方案,备注
0x80070005,拒绝访问,尝试访问无权限的文件或注册表项,权限不足、UAC拦截、文件被占用,以管理员身份运行、关闭占用程序、修改权限,系统级
0x80070002,系统找不到指定的文件,文件或路径不存在,路径拼写错误、文件被删除、环境变量失效,检查路径、恢复文件、修正变量,常见
0x80070020,文件正在使用中,文件被锁定,程序未释放句柄、病毒扫描、索引服务,重启、关闭相关进程、安全模式下操作,常见
0x80070057,参数错误,传入无效参数,API调用错误、脚本参数格式不对、日期/语言区域设置异常,检查调用文档、修正参数、重置区域,应用级
0x80070070,磁盘空间不足,无法写入数据,磁盘满、临时文件堆积、回收站未清空,清理磁盘、扩容、移动文件,系统级
0x8007000D,数据无效,配置文件或映像损坏,INI/JSON/XML格式错误、升级中断、磁盘坏道,修复文件、重新安装、chkdsk,系统级
0x80070052,无法创建文件或目录,重名或目录已满,FAT32根目录条目耗尽、文件名非法,转NTFS、缩短名、删旧文件,磁盘级
0x80070032,不支持该请求,功能或命令不可用,旧版系统调用新API、驱动不匹配,升级系统/驱动、换用兼容方案,驱动级
0x800700E1,被策略阻止,组策略禁止操作,软件限制策略、Applocker、 Defender隔离,调整策略、添加例外、关闭实时保护,企业环境
0x800700EA,句柄无效,使用已关闭的句柄,编程错误、句柄被系统回收、UAF,检查代码生命周期、使用RAII,开发级
0x8007045D,IO设备错误,读写失败,硬盘坏道、U盘松动、光驱老化,换线、低格、换硬盘,硬件级
0x8007045A,缓冲区溢出,数据超出分配长度,驱动缺陷、恶意输入、缓冲区过小,打补丁、限长输入、升级驱动,安全级
0x80070522,客户端所需的特权尚未被授予,UAC限制,未提权运行、令牌缺失SeBackupPrivilege,右键“以管理员运行”、调令牌,权限级
0x800705AA,系统资源不足,内存或句柄耗尽,内存泄漏、GDI对象未释放、句柄泄漏,重启、优化代码、增加RAM,资源级
0x80070643,安装时发生严重错误,MSI安装失败,前置依赖缺失、残留注册表、防毒拦截,清理残留、关防毒、装运行库,安装级
0x80070652,另一个安装正在进行,Windows Installer忙,MSI事务冲突、服务未结束,重启Installer服务、清理PendingFileRenameOperations,安装级
0x800706BE,远程过程调用失败,RPC通信中断,防火墙拦截、服务禁用、IPSec配置,放行RPC端口、启动RpcSs服务,网络级
0x80070721,安全数据库无法分配,本地安全策略损坏,SAM/SECURITY hive损坏、磁盘错误,sfc /scannow、备份恢复,系统级
0x80070842,网络登录服务未启动,NetLogon停用工域登录,服务被禁用、DC不可达,启动NetLogon、检查DNS/DC,域控级
0x80070907,打印机处理器未知,打印后台服务问题,Spooler崩溃、驱动不兼容、DLL缺失,重启Spooler、重装驱动,打印级
0x80070BC2,无法启用该网络,适配器被禁用或驱动异常,驱动未签名、注册表Network键缺失,更新驱动、netsh int ip reset,网络级
0x80070C00,存储空间不足无法处理命令,系统提交上限耗尽,虚拟内存不足、内存泄漏、分页文件过小,增大页面文件、查泄漏,内存级
0x8007139F,组或资源的状态不是执行请求操作的正确状态,服务未启动或依赖缺失,安装顺序错误、服务被禁用,检查依赖服务、按顺序安装,服务级
0x800713F8,无法完成操作因为文件已在另一进程打开,文件锁冲突,Office临时文件、Outlook PST、病毒扫描,用句柄工具解锁、关程序,常见
0x80071771,指定文件加密系统不支持该操作,Home版尝试EFS,Windows Home无EFS功能,升级专业版、改用BitLocker,版本级
0x80071772,无法解密指定的文件,证书丢失或私钥损坏,用户被删、证书未备份,导入PFX、恢复代理,加密级
0x80072EE7,无法解析服务器名称或地址,DNS解析失败,Hosts错误、DNS服务器宕机、代理配置,刷新DNS、换DNS、关代理,网络级
0x80072EFD,无法连接到服务器,端口被防火墙阻断,Windows防火墙、三方防火墙、IPSec规则,放行端口、关防火墙测试,网络级
0x80072F8F,无法验证服务器证书,SSL/TLS证书过期,系统时间错误、根证书被删、MITM,校准时间、更新根证、检查代理,安全级
0x80072F9D,HTTP 404 未找到,WinHTTP下载失败,WSUS离线、微软下架更新包,换源、手动下载MSU,更新级
0x80073701,组件存储已损坏,WinSxS缺失文件,更新被打断、硬盘坏道、手动删WinSxS,Dism /RestoreHealth、ISO源修复,映像级
0x80073712,组件清单损坏,CBS Manifest缺失,同样本被篡改、升级失败,sfc /scannow、Dism /Cleanup-Image,映像级
0x800F081F,找不到源文件,离线修复缺安装介质,未插ISO、WSUS未同步,挂载ISO /LimitAccess,更新级
0x800F0922,安装失败因为用户取消,实际为.NET安装失败,启用.NET Framework 3.5缺SXS源,指定备用源或联网,功能级
0x800F0906,Windows无法连接到互联网下载文件,离线安装缺包,同上,同上,功能级
0x80092004,找不到对象或属性,证书或CRL下载失败,网络不通、根URL失效,检查网络、手动装根证,证书级
0x80092013,提供程序未能执行操作,加密提供程序错误,CNG KeyIsolation服务未启动、HSM掉线,启动服务、检查HSM,加密级
0x80090005,密钥集不存在,用户配置文件未加载,注册表ProfileList缺失、SID.bak,重建配置文件、删.bak,用户级
0x8009000F,对象已存在,尝试重复创建密钥容器,代码逻辑错误、权限混乱,删除旧容器、改容器名,开发级
0x80090016,无法找到指定的提供程序,智能卡驱动缺失,Minidriver未装、卡未插,装驱动、插卡,智能卡
0x8009001D,数据无效无法导入证书,PFX密码错误或文件损坏,密码含特殊字符被转义、文件传输出错,重新导出/导入,证书级
0x80090305,本地计算机未授权访问此资源,LdapBind失败,匿名绑定被禁、账号无读权限,使用域账号绑定、加权限,LDAP级
0x80090308,指定的目标未知或不可达,Kerberos SPN未注册,SQL Server未注册SPN、DNS无A记录,setspn -A、修正DNS,Kerberos
0x80090322,无法完成登录因为用户名或密码错误,域认证失败,密码过期、时钟偏差>5分钟,重置密码、同步时间,认证级
0x80090324,接收到的令牌在尺寸或类型上无效,NTLMv1被禁用,安全策略仅允许NTLMv2,改策略或升级客户端,安全级
