"序号","错误类型","常见错误描述","原因分析"
1,"语法错误","缺少分号","C语句必须以分号结尾，遗漏会导致编译错误"
2,"语法错误","括号不匹配","花括号、圆括号或方括号未正确配对"
3,"语法错误","使用未声明的变量","变量在使用前未声明或拼写错误"
4,"语法错误","函数未声明就调用","在调用函数前未声明或定义该函数"
5,"语法错误","main函数返回类型错误","main函数应返回int类型，但写成了void等"
6,"语法错误","字符串字面量缺少引号","字符串未用双引号包围"
7,"语法错误","字符字面量用了双引号","字符应使用单引号，双引号用于字符串"
8,"语法错误","关键字拼写错误","如将int写成Int或nit"
9,"语法错误","使用了C++风格注释（在旧标准中）","C89不支持//注释，需用/* */"
10,"语法错误","宏定义后加分号","#define宏定义后不应加分号"
11,"预处理错误","#include后缺少尖括号或引号","#include <stdio.h> 或 #include "my.h" 格式错误"
12,"预处理错误","宏参数展开错误","宏定义中参数未加括号导致运算优先级错误"
13,"预处理错误","重复定义宏","同一宏被多次定义且内容不同"
14,"预处理错误","条件编译标签不匹配","#ifdef 与 #endif 不配对"
15,"预处理错误","头文件重复包含","未使用#ifndef防止重复包含"
16,"类型错误","整型与指针混用","将int赋值给int*等类型不匹配"
17,"类型错误","函数返回类型与实际不符","函数声明返回int但实际返回void"
18,"类型错误","格式化输出类型不匹配","printf中%d用于float变量"
19,"类型错误","隐式类型转换导致精度丢失","将double赋值给int未显式转换"
20,"类型错误","结构体成员访问错误","用.访问指针结构体，应用->"
21,"指针错误","使用未初始化的指针","指针未指向有效地址即解引用"
22,"指针错误","野指针访问","指针指向已释放的内存"
23,"指针错误","空指针解引用","对NULL指针进行*操作"
24,"指针错误","指针算术错误","对void*进行算术运算（C标准不允许）"
25,"指针错误","返回局部变量地址","函数返回栈上局部变量的地址"
26,"内存错误","malloc未检查返回值","malloc失败时返回NULL，未检查直接使用"
27,"内存错误","内存泄漏","malloc后未free"
28,"内存错误","重复free","对同一指针多次调用free"
29,"内存错误","越界访问数组","访问arr[10]而数组大小为10（合法索引0-9）"
30,"内存错误","栈溢出","递归过深或局部数组过大"
31,"数组错误","数组大小为变量（C89）","C89标准不支持变长数组"
32,"数组错误","数组初始化元素过多","初始化列表元素数超过声明大小"
33,"数组错误","字符串数组未留\0空间","char s[5] = "hello"; 缺少结束符空间"
34,"数组错误","二维数组列数不匹配","函数参数二维数组列数与实参不一致"
35,"数组错误","数组名作为左值","arr = another_arr; 数组名不可赋值"
36,"字符串错误","使用=赋值字符串","应使用strcpy，不能直接赋值"
37,"字符串错误","未初始化字符串缓冲区","使用未初始化的char数组作为字符串"
38,"字符串错误","strcat目标缓冲区不足","拼接后超出目标缓冲区大小"
39,"字符串错误","strcmp比较非字符串","传入非以\0结尾的字符数组"
40,"字符串错误","gets函数使用","gets不安全，易导致缓冲区溢出"
41,"输入输出错误","scanf未取地址","scanf("%d", num); 应为&num"
42,"输入输出错误","格式字符串与参数数量不匹配","printf("%d %d", a); 少一个参数"
43,"输入输出错误","文件未检查打开是否成功","fopen返回NULL未处理"
44,"输入输出错误","文件未关闭","打开文件后忘记fclose"
45,"输入输出错误","二进制/文本模式混淆","在Windows下混用模式导致数据错误"
46,"作用域错误","局部变量遮蔽全局变量","同名变量在内层作用域隐藏外层"
47,"作用域错误","在块外访问局部变量","试图在函数外访问函数内变量"
48,"作用域错误","goto跳过变量初始化","跳过变量定义语句导致未初始化"
49,"作用域错误","switch中定义变量未加大括号","case标签后直接定义变量违反C语法"
50,"链接错误","函数重复定义","多个源文件定义同名非static函数"
51,"链接错误","全局变量未定义","声明extern但未在任何文件定义"
52,"链接错误","main函数重复定义","多个文件包含main函数"
53,"链接错误","库函数未链接","使用数学函数未链接-lm"
54,"链接错误","static函数未使用","虽非错误但可能提示警告"
55,"逻辑错误","无限循环","循环条件永远为真"
56,"逻辑错误","循环变量未更新","for循环中忘记i++"
