序号,错误类型,错误描述,常见错误消息示例,原因分析,解决方法
1,镜像错误,拉取镜像失败,Error response from daemon: pull access denied,镜像不存在或无权访问,检查镜像名、标签、仓库权限
2,镜像错误,镜像构建失败,ERROR: failed to solve: process failed,Dockerfile语法错误或依赖问题,检查Dockerfile、网络连接、基础镜像
3,镜像错误,镜像标签错误,Error: No such image,tag不存在或镜像未构建,确认镜像标签，重新构建或拉取
4,镜像错误,镜像大小过大,镜像构建产物过大,包含不必要的文件或层,使用多阶段构建，优化.dockerignore
5,镜像错误,层缓存失效,构建时未利用缓存,构建上下文变化或指令顺序不合理,优化Dockerfile指令顺序
6,容器错误,容器启动失败,Error: failed to start container,端口冲突、资源不足,检查端口占用、系统资源
7,容器错误,容器立即退出,Exited (0) immediately,前台进程结束或配置错误,确保有前台进程，检查启动命令
8,容器错误,容器名称冲突,Conflict. The container name is already in use,容器名重复,使用不同名称或删除旧容器
9,容器错误,权限拒绝,Permission denied,容器内进程权限不足,使用--user参数或调整权限
10,容器错误,资源限制 exceeded,OOM killer或资源限制,内存、CPU不足,调整资源限制或优化应用
11,网络错误,端口绑定失败,Error: cannot assign requested address,端口已被占用或无效,更换端口或检查占用程序
12,网络错误,网络连接失败,network not found,网络不存在或驱动问题,创建网络或检查网络驱动
13,网络错误,DNS解析失败,Unable to resolve domain,容器DNS配置错误,检查/etc/resolv.conf或自定义DNS
14,网络错误,容器间通信失败,Connection refused,网络配置或防火墙阻止,检查网络模式、防火墙规则
15,网络错误,桥接网络问题,iptables规则冲突,防火墙规则干扰,调整iptables或使用用户定义网络
16,存储错误,卷挂载失败,Error: invalid volume specification,卷路径格式错误,检查卷映射语法
17,存储错误,权限映射错误,Permission denied on volume mount,主机-容器用户权限不匹配,调整文件权限或使用命名卷
18,存储错误,磁盘空间不足,No space left on device,宿主机磁盘满,清理磁盘空间或扩展存储
19,存储错误,绑定挂载文件丢失,Error: file not found,主机文件不存在,确保主机文件路径正确
20,存储错误,卷驱动问题,Volume driver not found,存储驱动未安装或配置,安装对应驱动或更换驱动
21,编排错误,Compose版本不兼容,Unsupported config option,docker-compose.yml版本过高,降低版本或升级Docker
22,编排错误,服务依赖问题,Service depends on undefined service,服务依赖未定义,检查depends_on配置
23,编排错误,环境变量缺失,Required variable missing,环境变量未设置,提供必需环境变量
24,编排错误,资源竞争,Service startup timeout,服务启动顺序问题,调整依赖或增加健康检查
25,编排错误,网络冲突,Network with same name exists,Compose项目网络冲突,使用不同项目名或清理网络
26,Dockerfile错误,RUN指令失败,ERROR: command failed,RUN命令执行失败,检查命令语法和依赖
27,Dockerfile错误,COPY文件不存在,ERROR: source not found,复制文件不存在于构建上下文,检查文件路径和.dockerignore
28,Dockerfile错误,WORKDIR无效,ERROR: path does not exist,工作目录不存在,确保目录存在或先创建
29,Dockerfile错误,ENTRYPOINT格式错误,ERROR: invalid entrypoint,入口点格式错误,使用JSON格式或调整语法
30,Dockerfile错误,多阶段构建错误,ERROR: failed to build stage,阶段依赖或复制错误,检查构建阶段和复制路径
31,守护进程错误,Docker服务未启动,Cannot connect to Docker daemon, Docker服务未运行,启动Docker服务(systemctl start docker)
32,守护进程错误,权限不足,Got permission denied while trying to connect,用户不在docker组,将用户加入docker组或使用sudo
33,守护进程错误,存储驱动错误,Storage driver issue,存储驱动崩溃或配置错误,切换存储驱动或清理数据
34,守护进程错误,日志文件过大,Daemon logs disk space,日志未轮转导致磁盘满,配置日志轮转和大小限制
35,守护进程错误,API版本不匹配,Client and server version mismatch,客户端服务端版本不兼容,升级或降级版本保持一致
36,安全错误,镜像漏洞,Vulnerabilities found in image,镜像包含安全漏洞,更新基础镜像、扫描漏洞
