序号,错误类型,错误现象,可能原因,解决方法
1,连接错误,无法连接到互联网,WAN口连接故障,检查WAN口网线连接,重启路由器
2,连接错误,网络时断时续,信号干扰或设备过热,将路由器放在通风位置,远离微波炉等干扰源
3,连接错误,有线连接正常无线无法上网,无线功能关闭或设置错误,检查无线功能是否开启,重新设置SSID
4,连接错误,部分设备无法连接,IP地址冲突或MAC过滤,检查DHCP设置,关闭MAC地址过滤
5,连接错误,连接速度慢,路由器性能不足或带宽限制,升级路由器,联系ISP检查带宽
6,登录错误,无法登录管理界面,IP地址错误或浏览器缓存,确认路由器IP地址,清除浏览器缓存
7,登录错误,忘记管理员密码,密码被修改或重置,使用reset按钮恢复出厂设置
8,登录错误,管理界面卡顿,路由器CPU过载或内存不足,关闭不必要的功能,重启路由器
9,DHCP错误,无法获取IP地址,DHCP服务器未开启或地址池耗尽,开启DHCP功能,扩大IP地址池范围
10,DHCP错误,IP地址冲突,静态IP与DHCP分配冲突,设置DHCP保留地址或调整地址池
11,DNS错误,能上QQ不能打开网页,DNS服务器故障或设置错误,更换公共DNS如114.114.114.114
12,DNS错误,域名解析失败,DNS污染或劫持,使用安全的DNS-over-HTTPS服务
13,NAT错误,端口映射失败,NAT表项满或配置错误,重启路由器,重新设置端口转发
14,NAT错误,UPnP不工作,UPnP功能关闭或兼容性问题,开启UPnP功能,更新固件
15,无线错误,信号强度弱,天线位置不当或障碍物阻挡,调整天线角度,减少障碍物
16,无线错误,无线网络不稳定,信道干扰或带宽设置错误,更换无线信道,设置固定带宽
17,无线错误,SSID不显示,广播功能关闭或隐藏网络,开启SSID广播功能
18,无线错误,认证失败,加密方式不兼容或密码错误,选择兼容的加密方式,确认密码
19,防火墙错误,网络访问被阻止,防火墙规则过于严格,调整防火墙规则或暂时关闭测试
20,防火墙错误,特定应用无法使用,应用过滤或URL过滤阻止,检查过滤规则,添加白名单
21,固件错误,路由器频繁重启,固件bug或硬件故障,升级最新固件,检查散热
22,固件错误,功能异常,固件损坏或版本不匹配,重新刷写固件,恢复出厂设置
23,硬件错误,路由器灯异常,电源适配器故障或硬件损坏,更换电源适配器,送修
24,硬件错误,端口接触不良,网线接口氧化或物理损坏,更换网线,清洁接口
25,硬件错误,过热死机,散热不良或环境温度过高,改善散热条件,添加散热装置
26,配置错误,网络环路,多个端口形成广播风暴,检查网络拓扑,开启生成树协议
27,配置错误,VLAN设置错误,VLAN划分不当导致隔离,重新配置VLAN规则
28,配置错误,QoS设置不当,带宽分配不合理导致卡顿,优化QoS规则,保障关键应用
29,安全错误,被黑客入侵,弱密码或漏洞未修补,设置强密码,及时更新固件
30,安全错误,ARP欺骗,ARP表被篡改导致流量劫持,开启ARP绑定,使用静态ARP
31,PPPoE错误,拨号失败,账号密码错误或ISP限制,确认账号密码,联系ISP
32,PPPoE错误,频繁断线,线路质量差或MTU设置不当,检查线路,调整MTU值
33,IPv6错误,IPv6连接失败,ISP不支持或配置错误,确认ISP支持情况,正确配置
34,IPv6错误,IPv4/IPv6兼容问题,双栈配置冲突,调整协议优先级或禁用其一
35,MAC过滤错误,合法设备被阻止,MAC地址输入错误或规则错误,检查MAC地址,调整过滤规则
36,家长控制错误,限制功能失效,时间设置错误或规则冲突,重新设置时间规则
37,端口转发错误,外网访问内网失败,端口冲突或IP地址错误,避免端口冲突,确认内网IP
38,DMZ错误,主机暴露风险,DMZ主机设置错误导致安全风险,谨慎使用DMZ,改用端口转发
39,动态DNS错误,域名解析失败,DDNS服务商故障或配置错误,检查DDNS设置,更换服务商
40,流量统计错误,数据不准,统计功能bug或重置,升级固件,重启统计功能
41,无线桥接错误,中继失败,主路由器信号弱或信道不匹配,增强信号,统一信道
42,Mesh组网错误,节点连接不稳定,节点距离过远或干扰,调整节点位置,有线回程
43,访客网络错误,隔离失效,访客网络设置错误导致主网访问,检查隔离设置,重置访客网络
44,WPS错误,一键连接失败,WPS功能不兼容或超时,使用传统方式连接,更新驱动
45,带宽控制错误,速度不达标,限速设置错误或硬件性能不足,重新设置限速规则,升级硬件
46,时间设置错误,日志时间不准,NTP服务器故障或时区错误,更换NTP服务器,设置正确时区
47,系统日志错误,日志已满,存储空间不足或自动清理未开启,清理日志,设置自动清理
48,远程管理错误,外网访问内网路由器失败,端口冲突或安全限制,使用非标准端口,确认ISP允许
49,USB共享错误,存储设备无法识别,格式不兼容或供电不足,使用兼容格式,外接电源
50,打印机共享错误,无法打印,驱动不兼容或设置错误,安装正确驱动,重新配置
51,VPN错误,拨号失败,协议不兼容或参数错误,选择兼容协议,检查参数
52,VPN错误,速度慢,加密强度高或服务器性能不足,降低加密强度,更换服务器
53,IPSec错误,隧道建立失败,密钥不匹配或策略错误,确认密钥,检查策略
54,SSL错误,证书验证失败,证书过期或根证书缺失,更新证书,安装根证书
55,负载均衡错误,链路利用率不均,策略设置不当或检测失效,调整策略,检查链路状态
56,双WAN错误,冗余失效,备份链路检测失败或配置错误,设置检测机制,正确配置
57,策略路由错误,流量走向错误,路由规则冲突或优先级问题,调整规则优先级
58,静态路由错误,网络不通,下一跳错误或接口选择错误,确认下一跳地址,选择正确接口
59,RIP错误,路由学习失败,版本不兼容或认证失败,统一版本,设置认证
60,OSPF错误,邻居建立失败,区域ID不匹配或Hello时间不匹配,统一区域ID,调整时间参数
61,BGP错误,对等体会话中断,AS号错误或Keepalive超时,确认AS号,调整超时时间
62,STP错误,网络环路,生成树协议未开启或配置错误,开启STP,调整优先级
63,VLAN错误,跨VLAN访问失败,Trunk配置错误或路由未通,正确配置Trunk,设置VLAN间路由
64,ACL错误,访问控制失效,规则顺序错误或应用接口错误,调整规则顺序,正确应用
65,端口安全错误,端口禁用,MAC地址数超限或违规操作,扩大限制,解除禁用
66,堆叠错误,成员设备离线,堆叠线缆故障或主选举失败,检查线缆,重新选举
67,电源错误,供电不足,PoE功率超限或电源模块故障,减少PoE设备,更换电源
68,风扇错误,散热不良,风扇故障或灰尘堵塞,更换风扇,清理灰尘
69,CF卡错误,配置丢失,存储卡故障或读写错误,更换CF卡,备份配置
70,光模块错误,链路中断,模块不兼容或光纤故障,使用兼容模块,检查光纤
71,SFP错误,端口不识别,模块类型不支持或端口禁用,使用支持模块,开启端口
72,Combo口错误,电口光口冲突,模式选择错误或硬件故障,正确选择模式,送修
73,配置恢复错误,重启后配置丢失,保存失败或存储空间不足,确认保存,清理空间
74,版本兼容错误,功能异常,软件版本与硬件不匹配,升级或降级版本
75,License错误,功能受限,许可证过期或未激活,续费或激活许可证
76,日志服务器错误,日志无法发送,服务器地址错误或网络不通,确认地址,检查网络
77,SNMP错误,网管无法连接,团体名错误或权限不足,设置正确团体名,分配权限
78,Netflow错误,流量数据不准,采样间隔不当或版本不兼容,调整间隔,统一版本
79,镜像端口错误,流量镜像失败,端口配置错误或资源冲突,重新配置,释放资源
80,时间范围错误,策略不生效,时间设置错误或未激活,正确设置时间,激活策略
81,URL过滤错误,网站误拦,分类不准或规则过严,调整规则,添加白名单
82,应用识别错误,应用控制失效,特征库过期或协议变更,更新特征库,调整策略
83,防攻击错误,误报率高,阈值设置过低或规则敏感,调整阈值,优化规则
84,IPMAC绑定错误,绑定失效,绑定表项满或动态学习冲突,清理表项,关闭动态学习
