错误类型/错误信息,可能原因,解决方法
UnknownTopicOrPartitionException,Producer向不存在的Topic发送消息。,检查Topic是否存在，或设置`auto.create.topics.enable=true`参数。
LEADER_NOT_AVAILABLE,Topic正在被删除、正在进行Leader选举、Broker宕机。,使用`kafka-topics`脚本检查Leader信息，确认Broker存活状态，尝试重启。
NotLeaderForPartitionException,Leader发生切换，客户端元数据过期，仍向旧的Leader Broker发送请求。,分析导致Leader切换的原因（如Broker宕机），客户端应刷新元数据。
TimeoutException,网络延迟高、Broker负载过高、配置的超时时间（`request.timeout.ms`）过短。,检查网络连通性，增加`request.timeout.ms`的值。
RecordTooLargeException / MessageSizeTooLarge,消息大小超过Broker配置的`message.max.bytes`或生产者配置的`buffer.memory`限制。,生产者端减少`batch.size`；或调整Broker的`message.max.bytes`配置；对消息进行分片处理。
NetWorkException / 连接断开,网络连接中断，防火墙阻止了端口通信。,检查Broker的网络情况，确保防火墙开放了Kafka端口（默认9092）。
ConcurrentModificationException,多线程并发访问非线程安全的KafkaConsumer对象。,确保每个线程使用独立的KafkaConsumer实例，或对消费逻辑进行加锁。
ILLEGAL_GENERATION,Consumer处理消息时间过长，错过了组重平衡（Rebalance），被移出消费者组。,减少`max.poll.records`（单次拉取消息数），增加`max.poll.interval.ms`（处理超时时间），优化消费逻辑。
Broker启动失败：端口被占用,另一个Kafka进程或其他应用占用了9092端口。,使用`lsof -i :9092`检查并终止占用进程，或修改Kafka的监听端口。
Broker启动失败：ZooKeeper连接失败,ZooKeeper服务未启动，或`zookeeper.connect`配置错误。,确保ZooKeeper服务正常，检查`zookeeper.connect`的地址和端口是否正确。
客户端无法连接Broker,客户端配置的Broker地址（`advertised.listeners`）不正确或网络不可达。,正确配置`advertised.listeners`为客户端可访问的IP/域名，检查网络和防火墙设置。
Failed to construct kafka producer,JAAS认证文件（如`kafka_client_jaas.conf`）配置错误，例如`serviceName`不匹配、`keyTab`路径错误。,仔细检查JAAS文件中的`serviceName`、`keyTab`路径、`principal`等配置项是否正确。
TopicAuthorizationFailed,"客户端没有操作指定Topic的权限（如Read, Write）。",检查Kafka的ACL（访问控制列表）配置，为客户端用户授予相应权限。
SASLAuthenticationFailed,SASL（简单认证安全层）认证失败，如用户名密码错误、机制不匹配。,"检查客户端与Broker的SASL配置（如PLAIN, SCRAM）是否一致，验证凭证有效性。"
OffsetOutOfRange,消费者要读取的偏移量（Offset）不在当前有效的偏移量范围内。,根据业务需求，将消费位移重置到最早（`earliest`）或最新（`latest`）的偏移量。
RebalanceInProgress,消费者组正在执行重平衡，此时消费者无法拉取消息。,避免在消费逻辑中执行耗时操作，合理配置`session.timeout.ms`和`max.poll.interval.ms`。
NotEnoughReplicasException,生产者设置`acks=all`时，同步副本（ISR）的数量不足。,确保存活的Broker数量足够，调整`min.insync.replicas`参数或降低生产者的`acks`要求。
消息延迟高,网络瓶颈、Broker磁盘IO慢、生产者/消费者配置不当。,优化网络和硬件（如使用SSD），生产者端开启压缩，消费者端增加并发度。
消息丢失,生产者设置`acks=0`或`1`，消息未完全写入副本就返回成功；消费者开启自动提交，处理失败但偏移量已提交。,生产者设置`acks=all`；消费者关闭自动提交（`enable.auto.commit=false`），在处理成功后手动提交偏移量。
